StockCode,AvgDailyDemand,StdDailyDemand,MaxDailyDemand,TotalDemand,AvgDailyRev,TotalRevenue,DaysActive,Description,Price,SafetyStock,ReorderPoint,AnnualDemand,UnitHoldingCost,EOQ,ReorderFrequency,StockStatus
47552A,1.3333333333333333,1.0,4,12,2.5999999999999996,23.4,9,DOTS IRONING BOARD COVER,1.95,4.0,13.0,487.0,0.39,353.0,265.0,Slow Mover
47556B,11.508849557522124,17.4802087835084,150,2601,33.83194690265487,7646.02,226,TEA TIME TEA TOWELS ,2.95,76.0,157.0,4201.0,0.5900000000000001,844.0,73.0,Medium Mover
47556b,1.0,0.0,1,4,5.91,23.64,4,TEA TIME TEA TOWELS ,5.91,0.0,7.0,365.0,1.1820000000000002,176.0,176.0,Slow Mover
47559B,13.185567010309278,15.858274047008393,116,5116,16.267242268041237,6311.69,388,TEA TIME OVEN GLOVE,1.25,69.0,161.0,4813.0,0.25,1388.0,105.0,Medium Mover
47559b,3.7560975609756095,3.2694073454135233,12,154,12.474634146341463,511.46,41,TEA TIME OVEN GLOVE,2.51,14.0,40.0,1371.0,0.502,523.0,139.0,Slow Mover
47563A,2.7222222222222223,4.366488545985462,27,343,6.63984126984127,836.62,126,RETRO LONGBOARD IRONING BOARD COVER,3.75,19.0,38.0,994.0,0.75,364.0,134.0,Slow Mover
47563B,1.3333333333333333,0.816496580927726,3,8,5.0,30.0,6,WAVELINE SURF IRONING BOARD COVER,3.75,4.0,13.0,487.0,0.75,255.0,191.0,Slow Mover
47566B,16.158774373259053,31.037999320922722,400,5801,71.87601671309193,25803.49,359,TEA TIME PARTY BUNTING,4.65,135.0,248.0,5898.0,0.9300000000000002,796.0,49.0,Medium Mover
47566b,3.6551724137931036,2.856520544101648,13,212,30.36655172413793,1761.26,58,TEA TIME PARTY BUNTING,8.47,12.0,38.0,1334.0,1.6940000000000002,281.0,77.0,Slow Mover
47567B,9.025,17.009700653391626,150,2166,48.68029166666667,11683.27,240,TEA TIME KITCHEN APRON,5.95,74.0,137.0,3294.0,1.1900000000000002,526.0,58.0,Medium Mover
47567b,1.5,0.7071067811865476,2,3,19.36,38.72,2,TEA TIME KITCHEN APRON,13.0,3.0,14.0,548.0,2.6,145.0,97.0,Slow Mover
47570B,5.86144578313253,12.758790968894813,100,973,57.96548192771085,9622.27,166,TEA TIME TABLE CLOTH,10.65,56.0,97.0,2139.0,2.1300000000000003,317.0,54.0,Medium Mover
47570b,1.0,0.0,1,8,21.175,169.4,8,TEA TIME TABLE CLOTH,21.23,0.0,7.0,365.0,4.246,93.0,93.0,Slow Mover
47574A,5.96875,21.155789614441865,207,573,8.257604166666667,792.73,96,ENGLISH ROSE SCENTED HANGING FLOWER,8.65,92.0,134.0,2179.0,1.7300000000000002,355.0,59.0,Medium Mover
47574B,2.130434782608696,1.6321861476416715,8,49,9.054347826086957,208.25,23,ENGLISH ROSE SCENTED HANGING HEART,4.25,7.0,22.0,778.0,0.8500000000000001,303.0,142.0,Slow Mover
47578A,4.873015873015873,4.401217073214003,20,307,4.442539682539683,279.88,63,ENGLISH ROSE SMALL SCENTED FLOWER,0.85,19.0,53.0,1779.0,0.17,1023.0,210.0,Slow Mover
47581B,1.393939393939394,0.8268688657895648,5,46,22.84151515151515,753.77,33,FAIRY CAKE WICKER PICNIC BASKET ,26.04,4.0,14.0,509.0,5.208,99.0,71.0,Slow Mover
47583A,11.833333333333334,26.536138880151096,66,71,102.13666666666666,612.8199999999999,6,SET OF 3 WICKER BASKET ROSE,24.95,116.0,199.0,4319.0,4.99,294.0,25.0,Medium Mover
47583B,5.4,7.700649323271382,19,27,66.52000000000001,332.6,5,SET OF 3 WICKER BASKET TEA AND CAKE,24.95,34.0,72.0,1971.0,4.99,199.0,37.0,Medium Mover
47585A,9.186440677966102,33.75070728034897,360,1084,22.143050847457626,2612.88,118,PINK FAIRY CAKE CUSHION COVER,10.39,147.0,211.0,3353.0,2.0780000000000003,402.0,44.0,Medium Mover
47586A,7.6923076923076925,15.51713692861987,72,200,10.401153846153846,270.43,26,PINK FAIRY CAKE CUSHION COVER,7.78,68.0,122.0,2808.0,1.556,425.0,55.0,Medium Mover
47587A,13.304347826086957,33.11472452304494,160,306,5.038260869565217,115.88,23,PINK FAIRY CAKE COASTER,1.7,145.0,238.0,4856.0,0.34,1195.0,90.0,Medium Mover
47590A,13.5,29.962464647443284,401,4752,68.67616477272728,24174.010000000002,352,BLUE HAPPY BIRTHDAY BUNTING,5.45,131.0,226.0,4928.0,1.09,672.0,50.0,Medium Mover
47590B,13.56501182033097,27.98569210328484,401,5738,69.41810874704493,29363.86,423,PINK HAPPY BIRTHDAY BUNTING,5.45,122.0,217.0,4951.0,1.09,674.0,50.0,Medium Mover
47590a,1.0,0.0,1,1,11.02,11.02,1,BLUE HAPPY BIRTHDAY BUNTING,11.02,0.0,7.0,365.0,2.204,129.0,129.0,Slow Mover
47590b,1.4444444444444444,0.5270462766947299,2,13,15.61111111111111,140.5,9,PINK HAPPY BIRTHDAY BUNTING,11.02,2.0,12.0,527.0,2.204,155.0,107.0,Slow Mover
47591A,2.629032258064516,2.937791469838156,16,163,4.347419354838709,269.53999999999996,62,CAROUSEL DES CHILD'S APRON,1.65,13.0,31.0,960.0,0.33,539.0,205.0,Slow Mover
47591B,5.697297297297298,10.995317345364086,120,1054,9.167837837837837,1696.05,185,SCOTTIES DES CHILD'S APRON,1.65,48.0,88.0,2080.0,0.33,794.0,139.0,Medium Mover
47591C,10.00952380952381,14.528814366163777,69,1051,19.166,2012.43,105,BLUE FAIRY CAKE CHILD'S APRON,1.95,63.0,133.0,3653.0,0.39,968.0,97.0,Medium Mover
47591D,20.10706638115632,25.62349740935067,208,9390,37.3496573875803,17442.29,467,PINK FAIRY CAKE CHILD'S APRON,1.65,112.0,253.0,7339.0,0.33,1491.0,74.0,Fast Mover
47591b,2.6666666666666665,1.5275252316519465,4,8,11.200000000000001,33.6,3,SCOTTIES CHILDRENS APRON,4.21,7.0,26.0,973.0,0.8420000000000001,340.0,128.0,Slow Mover
47591c,1.3333333333333333,0.5773502691896258,2,4,5.613333333333333,16.84,3,BLUE FAIRY CAKE CHILD'S APRON,4.21,3.0,12.0,487.0,0.8420000000000001,240.0,180.0,Slow Mover
47591d,4.865384615384615,6.243518509509057,26,253,24.50730769230769,1274.3799999999999,52,PINK FAIRY CAKE CHILDRENS APRON,5.06,27.0,61.0,1776.0,1.012,419.0,86.0,Slow Mover
47592A,4.355263157894737,5.420218808297741,28,331,8.386447368421052,637.37,76,CAROUSEL DES CHILD'S OVERALL,2.1,24.0,54.0,1590.0,0.42000000000000004,615.0,141.0,Slow Mover
47592B,2.68,2.5449295995501853,13,67,5.276,131.9,25,SCOTTIES DESIGN CHILD'S OVERALL,2.1,11.0,30.0,978.0,0.42000000000000004,483.0,180.0,Slow Mover
47593A,3.8354430379746836,4.852782389164544,26,303,3.8818987341772155,306.67,79,CAROUSEL DESIGN BABY BIB,1.25,21.0,48.0,1400.0,0.25,748.0,195.0,Slow Mover
47593B,9.038610038610038,20.30900952355778,145,2341,5.100347490347491,1320.99,259,SCOTTIES DESIGN BABY BIB,1.25,89.0,152.0,3299.0,0.25,1149.0,127.0,Medium Mover
47593a,1.0,0.0,1,1,2.51,2.51,1,CAROUSEL DESIGN BABY BIB,2.51,0.0,7.0,365.0,0.502,270.0,270.0,Slow Mover
47593b,6.0,0.0,6,6,4.98,4.98,1,SCOTTIE DOGS BABY BIB,0.83,0.0,42.0,2190.0,0.166,1149.0,192.0,Medium Mover
47594A,3.909090909090909,3.378894478921548,13,344,7.707954545454545,678.3,88,CAROUSEL DESIGN WASHBAG,4.3,15.0,42.0,1427.0,0.86,407.0,104.0,Slow Mover
47594B,4.121212121212121,4.347818423805459,25,408,8.165555555555555,808.39,99,SCOTTIES DESIGN WASHBAG,4.3,19.0,48.0,1504.0,0.86,418.0,101.0,Slow Mover
47594a,1.0,0.0,1,1,4.21,4.21,1,CAROUSEL DESIGN WASHBAG,4.21,0.0,7.0,365.0,0.8420000000000001,208.0,208.0,Slow Mover
47599A,22.26492537313433,50.32799499055862,600,5967,41.7185447761194,11180.57,268,PINK PARTY BAGS,2.1,220.0,376.0,8127.0,0.42000000000000004,1391.0,62.0,Fast Mover
47599B,15.182608695652174,31.842977908375442,240,3492,28.967565217391304,6662.54,230,BLUE PARTY BAGS ,2.1,139.0,245.0,5542.0,0.42000000000000004,1149.0,76.0,Medium Mover
48173A,1.0,0.0,1,1,6.75,6.75,1,DOOR MAT BLUE FLOCK,6.75,0.0,7.0,365.0,1.35,164.0,164.0,Slow Mover
48173C,13.151612903225807,47.15490805183674,501,4077,74.62232258064516,23132.92,310,DOOR MAT BLACK FLOCK ,5.95,206.0,298.0,4800.0,1.1900000000000002,635.0,48.0,Medium Mover
48173c,2.5,1.7105338131489616,7,70,40.12678571428571,1123.55,28,DOOR MAT BLACK FLOCK ,13.87,7.0,24.0,912.0,2.774,181.0,72.0,Slow Mover
51012C,9.0,12.418624006798106,48,171,11.25,213.75,19,"FEATHER DUSTER, COAL BLACK",1.25,54.0,117.0,3285.0,0.25,1146.0,127.0,Medium Mover
51012L,2.0,0.7071067811865476,3,10,2.5,12.5,5,"FEATHER DUSTER, LIGHT PINK",1.25,3.0,17.0,730.0,0.25,540.0,270.0,Slow Mover
51014A,27.680497925311204,43.017167035394564,300,6671,18.906639004149376,4556.5,241,"FEATHER PEN,HOT PINK",1.7,188.0,382.0,10103.0,0.34,1724.0,62.0,Fast Mover
51014C,20.92156862745098,32.5828043362444,288,4268,13.487745098039216,2751.5,204,"FEATHER PEN,COAL BLACK",1.7,142.0,288.0,7636.0,0.34,1499.0,72.0,Fast Mover
51014L,19.463276836158194,28.109365482658962,288,3445,12.555649717514124,2222.35,177,"FEATHER PEN,LIGHT PINK",0.85,123.0,259.0,7104.0,0.17,2044.0,105.0,Medium Mover
51014c,1.0,0.0,1,1,0.83,0.83,1,"FEATHER PEN,COAL BLACK",0.83,0.0,7.0,365.0,0.166,469.0,469.0,Slow Mover
51020A,27.72340425531915,57.18722194141365,288,1303,9.857659574468084,463.30999999999995,47,SUMMER FUN DESIGN SHOWER CAP,1.25,250.0,444.0,10119.0,0.25,2012.0,73.0,Fast Mover
51020B,19.017543859649123,38.83550070860707,240,1084,8.563508771929824,488.11999999999995,57,STRIPY DESIGN SHOWER CAP,1.25,170.0,303.0,6941.0,0.25,1666.0,88.0,Medium Mover
62043B,5.4,8.154071920757684,28,54,7.516000000000001,75.16000000000001,10,BLUE CHECK BAG W HANDLE 34X20CM,1.65,36.0,74.0,1971.0,0.33,773.0,143.0,Medium Mover
62074B,3.4545454545454546,2.73362895666681,10,38,1.450909090909091,15.96,11,ELEPHANT CLIP W SUCTION CUP,0.42,12.0,36.0,1261.0,0.084,1225.0,355.0,Slow Mover
62086A,5.136363636363637,5.94655125778563,30,113,10.01590909090909,220.35,22,PINK RETRO BIG FLOWER BAG,1.95,26.0,62.0,1875.0,0.39,693.0,135.0,Medium Mover
62094B,4.919354838709677,9.820183943883,50,305,10.935322580645161,677.99,62,TURQ ICE CREAM BUM BAG ,5.06,43.0,77.0,1796.0,1.012,421.0,86.0,Slow Mover
62095B,15.368421052631579,28.49407448403535,120,292,16.359473684210524,310.83,19,TURQOISE ICE CREAM SUNHAT,1.69,124.0,232.0,5609.0,0.338,1288.0,84.0,Medium Mover
62096A,5.1066666666666665,6.878429529535998,46,383,7.903866666666667,592.79,75,PINK/YELLOW FLOWERS HANDBAG,1.95,30.0,66.0,1864.0,0.39,691.0,135.0,Medium Mover
62096B,3.7794117647058822,4.424644646277221,30,257,6.499852941176471,441.99,68,PURPLE/TURQ FLOWERS HANDBAG,8.65,19.0,45.0,1379.0,1.7300000000000002,282.0,75.0,Slow Mover
62097A,1.0,0.0,1,3,2.9500000000000006,8.850000000000001,3,PINK STRIPES SHOULDER BAG,2.95,0.0,7.0,365.0,0.5900000000000001,249.0,249.0,Slow Mover
62097B,2.75,1.5,5,11,3.3425000000000002,13.370000000000001,4,BLUE STRIPES SHOULDER BAG,2.95,7.0,26.0,1004.0,0.5900000000000001,413.0,150.0,Slow Mover
71028B,44.90909090909091,52.07965926435108,120,494,20.68,227.48,11,SILVER BLUE EGG T-LIGHT HOLDER,1.65,227.0,541.0,16392.0,0.33,2229.0,50.0,Fast Mover
71101A,6.0,0.0,6,6,5.1,5.1,1,ANGEL ON KNEES METAL POLE 100CM H,0.85,0.0,42.0,2190.0,0.17,1135.0,189.0,Medium Mover
71101E,16.53191489361702,15.664763926154928,96,777,13.321914893617022,626.13,47,STANDING FAIRY POLE SUPPORT ,0.85,68.0,184.0,6034.0,0.17,1884.0,114.0,Medium Mover
71406C,6.0,5.190489039636654,20,210,2.5691428571428574,89.92,35,BLACK ORANGE SQUEEZER,0.86,23.0,65.0,2190.0,0.17200000000000001,1128.0,188.0,Medium Mover
71434B,1.0,0.0,1,2,2.55,5.1,2,"BLACK RND BULLET""KEEP CLEAN"" BIN",2.55,0.0,7.0,365.0,0.51,268.0,268.0,Slow Mover
71495A,11.25,24.574002094639948,96,225,4.398000000000001,87.96000000000001,20,CD WALL TIDY BLUE OFFICE,0.42,107.0,186.0,4106.0,0.084,2211.0,197.0,Medium Mover
71495B,17.294117647058822,27.490372646351926,99,294,6.562941176470589,111.57000000000001,17,CD WALL TIDY RED FLOWERS,0.42,120.0,241.0,6312.0,0.084,2741.0,158.0,Medium Mover
71496A,14.352941176470589,25.869724526148776,96,244,8.706470588235295,148.01000000000002,17,A4 WALL TIDY BLUE OFFICE,0.53,113.0,213.0,5239.0,0.10600000000000001,2223.0,155.0,Medium Mover
71496B,2.5,2.073644135332772,6,15,1.445,8.67,6,A4 WALL TIDY RED FLOWERS,0.65,9.0,26.0,912.0,0.13,838.0,335.0,Slow Mover
72023F,16.842105263157894,53.709693279750134,336,640,17.62157894736842,669.62,38,RED ORGANIC CANDLE IN GLASS,1.25,234.0,352.0,6147.0,0.25,1568.0,93.0,Medium Mover
72024U,20.0,8.899438184514796,24,220,4.2,46.2,11,LILAC VOTIVE CANDLE,0.21,39.0,179.0,7300.0,0.042,4169.0,208.0,Medium Mover
72038P,116.66666666666667,79.05694150420949,200,1050,12.944444444444445,116.5,9,PRICE'S CANDLE PEACH,0.08,345.0,1162.0,42583.0,0.016,16314.0,140.0,High Velocity
72045D,179.66666666666666,280.8920314521815,504,539,306.21666666666664,918.65,3,ROSES ON BLUE TEACUP CANDLE ,1.69,1226.0,2484.0,65578.0,0.338,4405.0,25.0,High Velocity
72051S,6.0,11.259463140136017,65,300,3.8178,190.89000000000001,50,BAG OF SILVER STONES,0.86,49.0,91.0,2190.0,0.17200000000000001,1128.0,188.0,Medium Mover
72083A,4.8,6.260990336999411,16,24,10.080000000000002,50.400000000000006,5,STRAWBERY SWIRL FLARE CANDLE,2.1,27.0,61.0,1752.0,0.42000000000000004,646.0,135.0,Slow Mover
72084B,2.0,0.0,2,2,3.9,3.9,1,CHOCOLATE ICE CREAM CANDLE,1.95,0.0,14.0,730.0,0.39,433.0,216.0,Slow Mover
72140E,7.785714285714286,18.27233720349717,72,218,5.597142857142857,156.72,28,BEST DAD CANDLE LETTERS,1.7,80.0,134.0,2842.0,0.34,914.0,117.0,Medium Mover
72140F,13.461538461538462,18.888335839062975,72,175,5.321538461538462,69.18,13,HAPPY ANNIVERSARY CANDLE LETTERS,0.42,82.0,176.0,4913.0,0.084,2418.0,180.0,Medium Mover
72225C,52.054054054054056,91.56325862664744,576,1926,12.604864864864865,466.38,37,LAVENDER SCENT CAKE CANDLE,0.29,400.0,764.0,19000.0,0.057999999999999996,5724.0,110.0,High Velocity
72225D,87.45454545454545,164.17573732824445,576,962,19.95090909090909,219.45999999999998,11,VANILLA SCENT CAKE CANDLE ,0.29,717.0,1329.0,31921.0,0.057999999999999996,7419.0,85.0,High Velocity
72349B,9.128440366972477,16.710934038836506,144,1990,18.577935779816514,4049.9900000000002,218,SET/6 PURPLE BUTTERFLY T-LIGHTS,2.1,73.0,137.0,3332.0,0.42000000000000004,891.0,98.0,Medium Mover
72349b,2.7945205479452055,1.9927570523550546,11,204,11.622054794520547,848.41,73,SET/6 PURPLE BUTTERFLY T-LIGHTS,4.3,9.0,29.0,1020.0,0.86,344.0,123.0,Slow Mover
72351A,12.594594594594595,25.47949333978285,228,3728,24.89418918918919,7368.68,296,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,2.1,111.0,199.0,4597.0,0.42000000000000004,1046.0,83.0,Medium Mover
72351B,17.8,35.52646379291963,288,5785,34.415046153846156,11184.890000000001,325,SET/6 PINK  BUTTERFLY T-LIGHTS,2.1,155.0,280.0,6497.0,0.42000000000000004,1244.0,70.0,Medium Mover
72351a,1.4230769230769231,0.986836437230686,5,37,5.957307692307693,154.89000000000001,26,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,4.21,4.0,14.0,519.0,0.8420000000000001,248.0,174.0,Slow Mover
72369A,4.785714285714286,4.838603921803055,18,67,7.234999999999999,101.28999999999999,14,PINK CLEAR GLASS CANDLE PLATE,1.25,21.0,54.0,1747.0,0.25,836.0,175.0,Slow Mover
72529W,16.0,29.9177443763969,128,464,31.68103448275862,918.75,29,WHITE ADVENT CANDLE,2.12,131.0,243.0,5840.0,0.42400000000000004,1174.0,73.0,Medium Mover
72529w,1.0,0.0,1,1,4.3,4.3,1,WHITE ADVENT CANDLE,4.3,0.0,7.0,365.0,0.86,206.0,206.0,Slow Mover
72606A,14.125,23.145553928706626,96,226,5.9325,94.92,16,BROWN ANTIQUE CUBE CANDLE,0.42,101.0,200.0,5156.0,0.084,2478.0,175.0,Medium Mover
72739B,23.176470588235293,36.883660498447085,144,394,19.31705882352941,328.39,17,WHITE CHOCOLATE SCENT CANDLE,1.25,161.0,323.0,8459.0,0.25,1839.0,79.0,Fast Mover
72739C,20.375,32.21154037504778,132,326,17.4425,279.08,16,DARK CHOCOLATE SCENTCANDLE,2.57,141.0,284.0,7437.0,0.514,1203.0,59.0,Fast Mover
72740A,7.222222222222222,7.82268780180089,24,65,15.69222222222222,141.23,9,LARGE STRAWBERRY CHOCOLATE CANDLE,5.17,34.0,85.0,2636.0,1.034,505.0,70.0,Medium Mover
72740B,1.0,0.0,1,1,5.06,5.06,1,LARGE WHITE CHOCOLATE CANDLE,5.06,0.0,7.0,365.0,1.012,190.0,190.0,Slow Mover
72750A,25.533333333333335,40.42783105497405,128,383,51.123333333333335,766.85,15,"F.FAIRY S/3 CANDLE/GLASS,LILY/VALLY",1.95,176.0,355.0,9320.0,0.39,1546.0,61.0,Fast Mover
72750B,13.405405405405405,23.486946090044075,128,496,28.302702702702703,1047.2,37,"F.FAIRY S/3 CANDLE/GLASS,LAVENDER",1.95,103.0,197.0,4893.0,0.39,1120.0,84.0,Medium Mover
72750C,17.846153846153847,24.392096239855217,88,232,36.646153846153844,476.4,13,"F.FAIRY S/3 CANDLE/GLASS, ROSE",1.95,106.0,231.0,6514.0,0.39,1292.0,72.0,Medium Mover
72750D,10.0,8.590692637965812,32,110,20.59090909090909,226.5,11,F.FAIRY S/3 CANDLE/GLASS,1.95,38.0,108.0,3650.0,0.39,967.0,97.0,Medium Mover
72751A,1.0,0.0,1,1,5.95,5.95,1,"F.FAIRY S/3 SML CANDLE,LILY/VALLEY",5.95,0.0,7.0,365.0,1.1900000000000002,175.0,175.0,Slow Mover
72751B,1.0,0.0,1,1,5.95,5.95,1,"F.FAIRY S/3 SML CANDLE, LAVENDER",5.95,0.0,7.0,365.0,1.1900000000000002,175.0,175.0,Slow Mover
72751C,1.0,0.0,1,1,5.95,5.95,1,"F.FAIRY S/3 SML CANDLE, ROSE",5.95,0.0,7.0,365.0,1.1900000000000002,175.0,175.0,Slow Mover
72752A,1.0,0.0,1,1,4.25,4.25,1,"F.FAIRY,CANDLE IN GLASS,LILY/VALLEY",4.25,0.0,7.0,365.0,0.8500000000000001,207.0,207.0,Slow Mover
72752B,1.5,0.7071067811865476,2,3,6.375,12.75,2,"F.FAIRY,CANDLE IN GLASS,LAVENDER",4.25,3.0,14.0,548.0,0.8500000000000001,254.0,169.0,Slow Mover
72753A,24.23076923076923,44.53678974764168,160,315,53.09538461538462,690.24,13,S/3 FLWR FAIRY LILLY CANDLES,2.1,194.0,364.0,8844.0,0.42000000000000004,1451.0,60.0,Fast Mover
72753B,34.23076923076923,52.781236953665406,160,445,73.67153846153846,957.73,13,S/3 FLWR FAIRY LAVENDER CANDLES,2.1,230.0,470.0,12494.0,0.42000000000000004,1725.0,50.0,Fast Mover
72753C,7.166666666666667,5.382068994974578,16,43,17.94666666666667,107.68,6,S/3 FLWR FAIRY ROSE CANDLES,2.1,23.0,73.0,2616.0,0.42000000000000004,789.0,110.0,Medium Mover
72753D,18.0,22.116574263272717,72,144,37.800000000000004,302.40000000000003,8,S/3 FLWR FAIRY SUMMER CANDLES,2.1,97.0,223.0,6570.0,0.42000000000000004,1251.0,70.0,Medium Mover
72754A,73.0,75.33480824514875,180,292,50.31,201.24,4,FLOWER FAIRY POTPOURRI CUSHION LILY,0.65,329.0,840.0,26645.0,0.13,4527.0,62.0,High Velocity
72754B,24.285714285714285,15.43496340255121,36,170,19.648571428571426,137.54,7,F FAIRY POTPOURRI CUSHIONS LAVENDER,1.69,67.0,237.0,8864.0,0.338,1619.0,67.0,Fast Mover
72754D,1.0,0.0,1,1,1.69,1.69,1,F FAIRY POTPOURRI CUSHIONS SUMMER,1.69,0.0,7.0,365.0,0.338,329.0,329.0,Slow Mover
72755C,45.53846153846154,61.797539574289665,164,592,59.0,767.0,13,FLOWER FAIRY OIL BURNER SET ROSE,1.25,270.0,589.0,16622.0,0.25,2579.0,57.0,Fast Mover
72755D,44.416666666666664,58.13379291589255,164,533,57.770833333333336,693.25,12,FLOWER FAIRY OIL BURNER SET SUMMER,4.25,254.0,565.0,16212.0,0.8500000000000001,1381.0,31.0,Fast Mover
72760B,5.96140350877193,9.7023620324714,110,1699,57.575508771929826,16409.02,285,VINTAGE CREAM 3 BASKET CAKE STAND,9.95,42.0,84.0,2176.0,1.99,331.0,56.0,Medium Mover
72771B,29.25,45.87210481327405,97,117,14.225,56.9,4,BURG FLOCK GOLD CUP/CANDLE ,4.3,200.0,405.0,10676.0,0.86,1114.0,38.0,Fast Mover
72771C,13.5,12.556538801224908,31,54,10.52,42.08,4,BLACK FLOCK GOLD CANDLE,4.3,55.0,150.0,4928.0,0.86,757.0,56.0,Medium Mover
72785A,2.0,0.816496580927726,3,8,4.2,16.8,4,S/4 CONTEMPORY PINK ROSEBUD CANDLES,2.1,4.0,18.0,730.0,0.42000000000000004,417.0,208.0,Slow Mover
72785B,3.0,2.0,5,9,3.6333333333333333,10.9,3,S/4 CONTEMPORY RED ROSEBUD CANDLES,2.1,9.0,30.0,1095.0,0.42000000000000004,511.0,170.0,Slow Mover
72796A,2.2,1.6431676725154984,5,11,3.63,18.15,5,S/3 ENGLISH LAVENDER SQU CANDLE,1.65,7.0,22.0,803.0,0.33,493.0,224.0,Slow Mover
72796B,2.25,1.864744681524183,7,27,3.7125,44.55,12,S/3 FRENCH VANILLA SQU CANDLE,1.65,8.0,24.0,821.0,0.33,499.0,222.0,Slow Mover
72796C,1.0,0.0,1,1,1.65,1.65,1,S/3 ROSE GARDEN SCENT SQU CANDLE,1.65,0.0,7.0,365.0,0.33,333.0,333.0,Slow Mover
72798C,1.8666666666666667,1.5522640914238175,6,28,3.5406666666666666,53.11,15,SET/4 GARDEN ROSE DINNER CANDLE,1.65,7.0,20.0,681.0,0.33,454.0,243.0,Slow Mover
72799A,36.0,77.31429363319566,240,612,51.635294117647064,877.8000000000001,17,BLACK PILLAR CANDLE SILVER FLOCK,2.55,338.0,590.0,13140.0,0.51,1605.0,45.0,Fast Mover
72799B,35.77777777777778,77.56251958545728,241,322,51.96777777777778,467.71000000000004,9,PURPLE PILLAR CANDLE BLACK FLOCK,2.95,339.0,589.0,13059.0,0.5900000000000001,1488.0,42.0,Fast Mover
72799C,11.487804878048781,37.31361812476747,240,471,19.1,783.1,41,PINK PILLAR CANDLE SILVER FLOCK,2.95,163.0,243.0,4193.0,0.5900000000000001,843.0,73.0,Medium Mover
72799D,4.333333333333333,6.642111641550715,24,78,14.481666666666667,260.67,18,BLUE PILLAR CANDLE SILVER FLOCK,2.95,29.0,59.0,1582.0,0.5900000000000001,518.0,120.0,Slow Mover
72799E,9.194029850746269,25.05437023452648,240,1232,19.407761194029852,2600.6400000000003,134,IVORY PILLAR CANDLE SILVER FLOCK,2.95,109.0,173.0,3356.0,0.5900000000000001,754.0,82.0,Medium Mover
72799F,13.392857142857142,53.11138962031621,480,1125,24.794523809523813,2082.7400000000002,84,IVORY PILLAR CANDLE GOLD FLOCK,2.95,232.0,326.0,4888.0,0.5900000000000001,910.0,68.0,Medium Mover
72800A,16.85,55.18525908712236,253,674,18.5815,743.26,40,S/4 BLACK DINNER CANDLE SILVER FLOC,5.17,241.0,359.0,6150.0,1.034,771.0,46.0,Medium Mover
72800B,12.3125,40.13350938990219,253,985,15.95975,1276.78,80,S/4 PURPLE DINNER CANDLE BLK FLOCK,2.55,175.0,261.0,4494.0,0.51,939.0,76.0,Medium Mover
72800C,8.91891891891892,29.967451181608734,252,660,12.497837837837839,924.84,74,S/4 PINK DINNER CANDLE SILVER FLOCK,2.55,131.0,193.0,3255.0,0.51,799.0,90.0,Medium Mover
72800D,8.08974358974359,30.29259302438786,264,631,13.079615384615385,1020.21,78,S/4 BLUE DINNER CANDLE SILVER FLOCK,2.55,132.0,189.0,2953.0,0.51,761.0,94.0,Medium Mover
72800E,6.974874371859296,10.902894243648257,117,1388,13.134773869346734,2613.82,199,4 IVORY DINNER CANDLES SILVER FLOCK,2.55,48.0,97.0,2546.0,0.51,707.0,101.0,Medium Mover
72800F,16.11764705882353,65.18762062196272,468,822,20.788039215686275,1060.19,51,4 IVORY DINNER CANDLES GOLD FLOCK,2.55,285.0,398.0,5883.0,0.51,1074.0,67.0,Medium Mover
72801C,13.882352941176471,36.45361274761311,240,708,10.418823529411766,531.36,51,S/4 ROSE PINK DINNER CANDLES,1.25,159.0,256.0,5067.0,0.25,1424.0,103.0,Medium Mover
72801D,10.054545454545455,33.01369983967833,240,553,8.112181818181819,446.17,55,S/4 SKY BLUE DINNER CANDLES,1.25,144.0,214.0,3670.0,0.25,1212.0,121.0,Medium Mover
72801E,36.61904761904762,124.3959308781747,576,769,19.273809523809526,404.75,21,S/4 FESTIVE GREEN DINNER CANDLES,1.25,543.0,799.0,13366.0,0.25,2312.0,63.0,Fast Mover
72801F,15.6,12.321873697963772,38,234,19.5,292.5,15,S/4 FESTIVE RED DINNER CANDLES,1.25,54.0,163.0,5694.0,0.25,1509.0,97.0,Medium Mover
72801G,21.688524590163933,79.52285645934477,576,1323,13.051147540983607,796.12,61,S/4 BURGUNDY WINE DINNER CANDLES,1.25,347.0,499.0,7916.0,0.25,1779.0,82.0,Fast Mover
72801c,2.2962962962962963,1.6828276298863265,7,62,5.691481481481481,153.67,27,S/4 ROSE PINK DINNER CANDLES,2.51,7.0,23.0,838.0,0.502,409.0,178.0,Slow Mover
72801d,2.1458333333333335,1.637195101818485,7,103,5.312083333333333,254.98,48,S/4 SKY BLUE DINNER CANDLES,2.51,7.0,22.0,783.0,0.502,395.0,184.0,Slow Mover
72801e,1.75,0.9574271077563382,3,7,4.3925,17.57,4,S/4 FESTIVE GREEN DINNER CANDLES,2.51,4.0,16.0,639.0,0.502,357.0,204.0,Slow Mover
72801g,3.3333333333333335,4.041451884327381,8,10,8.366666666666665,25.099999999999998,3,S/4 BURGUNDY WINE DINNER CANDLES,2.51,18.0,41.0,1217.0,0.502,492.0,148.0,Slow Mover
